ID,Make,Model,Year,Mileage,HealthScore,LastService,ServiceType,MaintenanceCost
49,Hyundai,Accord,2016,19197,98,2026-03-05,Brake Check,833
50,Tesla,Accord,2024,74026,81,2026-03-15,Oil Change,347
51,BMW,Camry,2017,139561,68,2026-04-06,Oil Change,400
52,Ford,Accord,2021,13310,98,2026-03-17,Tire Rotation,158
53,Toyota,Accord,2021,15460,98,2026-01-16,Battery Check,195
54,Toyota,Corolla,2021,10013,97,2026-01-08,Oil Change,616
55,Toyota,Civic,2014,73472,83,2026-01-03,Tire Rotation,63
56,Ford,Corolla,2019,81746,83,2026-01-04,Tire Rotation,559
57,Hyundai,Accord,2024,15413,98,2026-03-13,Brake Check,743
58,Toyota,Mustang,2017,112240,79,2026-01-03,Brake Check,179
59,Honda,Mustang,2013,33913,94,2026-02-09,Tire Rotation,240
60,Ford,Mustang,2015,107483,79,2026-02-20,Battery Check,756
61,Honda,Accord,2015,96764,78,2026-02-22,Brake Check,539
62,Hyundai,Mustang,2020,89774,79,2026-04-14,Brake Check,812
63,Ford,Camry,2024,152476,70,2026-01-10,Brake Check,689
64,BMW,Camry,2025,163781,63,2026-04-14,Tire Rotation,757
65,Honda,Accord,2013,31109,94,2026-03-15,Tire Rotation,483
66,Ford,Accord,2016,34174,95,2026-02-09,Oil Change,170
67,Toyota,Camry,2021,108911,75,2026-01-25,Brake Check,315
68,Tesla,Accord,2015,33772,91,2026-04-06,Brake Check,609
69,Toyota,Camry,2014,96349,81,2026-03-26,Tire Rotation,745
70,BMW,Civic,2021,161486,67,2026-01-21,Tire Rotation,369
71,Tesla,Mustang,2022,153940,68,2026-03-02,Tire Rotation,463
72,Tesla,Model3,2014,14531,98,2026-03-03,Oil Change,606
73,Hyundai,Civic,2020,65953,88,2026-01-20,Battery Check,344
74,Toyota,Civic,2013,110765,80,2026-04-21,Battery Check,508
75,BMW,Corolla,2021,82939,85,2026-02-28,Oil Change,839
76,Hyundai,Corolla,2021,93384,80,2026-03-20,Oil Change,435
77,BMW,Accord,2025,54185,87,2026-01-05,Tire Rotation,636
78,Honda,Civic,2025,68209,89,2026-02-27,Tire Rotation,557
79,Honda,Camry,2022,123774,74,2026-02-25,Battery Check,317
80,BMW,Corolla,2023,5972,98,2026-04-10,Tire Rotation,798
81,Toyota,Corolla,2025,25921,98,2026-01-28,Tire Rotation,352
82,Tesla,Model3,2021,105240,74,2026-01-12,Tire Rotation,71
83,Ford,Camry,2014,147639,70,2026-02-21,Oil Change,292
84,Ford,Camry,2016,178489,57,2026-04-03,Tire Rotation,369
85,BMW,Model3,2023,29092,95,2026-01-22,Oil Change,256
86,Honda,Corolla,2022,152178,69,2026-01-09,Battery Check,801
87,Ford,Mustang,2022,178751,60,2026-03-27,Battery Check,171
88,Ford,Corolla,2016,166455,60,2026-01-02,Battery Check,205
89,Tesla,Camry,2020,113602,77,2026-03-18,Brake Check,193
90,BMW,Mustang,2014,105501,79,2026-03-26,Brake Check,817
91,Ford,Mustang,2015,56459,84,2026-02-16,Oil Change,779
92,Honda,Camry,2013,57446,84,2026-02-07,Oil Change,571
93,BMW,Civic,2019,20930,98,2026-04-15,Tire Rotation,484
94,BMW,Mustang,2016,163875,67,2026-02-15,Oil Change,243
95,Toyota,Accord,2022,96107,81,2026-02-22,Oil Change,643
96,Ford,Corolla,2013,62515,91,2026-01-28,Battery Check,120
97,Honda,Camry,2023,110658,77,2026-03-03,Tire Rotation,832
98,Ford,Accord,2016,102391,80,2026-04-09,Brake Check,374
99,BMW,Civic,2016,177410,63,2026-04-20,Brake Check,200
100,Toyota,Corolla,2024,85994,77,2026-01-09,Oil Change,521
